>ALA		
		
C		1.6100
CA		1.8800
CB		1.8800
N		1.6400
O		1.4200
		
		
>ARG		
		
C		1.6100
CA		1.8800
CB		1.8800
CD		1.8800
CG		1.8800
CZ		1.6100
N		1.6400
NE		1.6400
NH1		1.6400
NH2		1.6400
O		1.4200
		
		
>ASN		
		
C		1.6100
CA		1.8800
CB		1.8800
CG		1.6100
N		1.6400
ND2		1.6400
O		1.4200
OD1		1.4200
		
		
>ASP		
		
C		1.6100
CA		1.8800
CB		1.8800
CG		1.8800
N		1.6400
O		1.4200
OD1		1.4200
OD2		1.4200
		
		
>CYS		
		
C		1.6100
CA		1.8800
CB		1.8800
N		1.6400
O		1.4200
SG		1.7700
		
		
>GLN		
		
C		1.6100
CA		1.8800
CB		1.8800
CD		1.6100
CG		1.8800
N		1.6400
NE2		1.6400
O		1.4200
OE1		1.4200
		
		
>GLU		
		
C		1.6100
CA		1.8800
CB		1.8800
CD		1.8800
CG		1.8800
N		1.6400
O		1.4200
OE1		1.4200
OE2		1.4200
		
		
>GLY		
		
C		1.6100
CA		1.8800
N		1.6400
O		1.4200
		
		
>HIS		
		
C		1.6100
CA		1.8800
CB		1.8800
CD2		1.7600
CE1		1.7600
CG		1.6100
N		1.6400
ND1		1.6400
NE2		1.6400
O		1.4200
		
		
>ILE		
		
C		1.6100
CA		1.8800
CB		1.8800
CD1		1.8800
CG1		1.8800
CG2		1.8800
N		1.6400
O		1.4200
		
		
>LEU		
		
C		1.6100
CA		1.8800
CB		1.8800
CD1		1.8800
CD2		1.8800
CG		1.8800
N		1.6400
O		1.4200
OXT		1.4200
		
		
>LYS		
		
C		1.6100
CA		1.8800
CB		1.8800
CD		1.8800
CE		1.8800
CG		1.8800
N		1.6400
NZ		1.6400
O		1.4200
		
		
>MET		
		
C		1.6100
CA		1.8800
CB		1.8800
CE		1.8800
CG		1.8800
N		1.6400
O		1.4200
SD		1.7700
		
		
>PHE		
		
C		1.6100
CA		1.8800
CB		1.8800
CD1		1.7600
CD2		1.7600
CE1		1.7600
CE2		1.7600
CG		1.6100
CZ		1.7600
N		1.6400
O		1.4200
		
		
>PRB		
		
MX		1.8000
		
		
>PRO		
		
C		1.6100
CA		1.8800
CB		1.8800
CD		1.8800
CG		1.8800
N		1.6400
O		1.4200
		
		
>SER		
		
C		1.6100
CA		1.8800
CB		1.8800
N		1.6400
O		1.4200
OG		1.4600
		
		
>THR		
		
C		1.6100
CA		1.8800
CB		1.8800
CG2		1.8800
N		1.6400
O		1.4200
OG1		1.4600
		
		
>TRP		
		
C		1.6100
CA		1.8800
CB		1.8800
CD1		1.7600
CD2		1.6100
CE2		1.6100
CE3		1.7600
CG		1.6100
CH2		1.7600
CZ2		1.7600
CZ3		1.7600
N		1.6400
NE1		1.6400
O		1.4200
		
		
>TYR		
		
C		1.6100
CA		1.8800
CB		1.8800
CD1		1.7600
CD2		1.7600
CE1		1.7600
CE2		1.7600
CG		1.6100
CZ		1.6100
N		1.6400
O		1.4200
OH		1.4600
		
		
>VAL		
		
C		1.6100
CA		1.8800
CB		1.8800
CG1		1.8800
CG2		1.8800
N		1.6400
O		1.4200
		
		
